GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.quickbite.gateway,ApiGatewayApplication,5,3,0,0,2,1,1,1,1,1
api-gateway,com.quickbite.gateway.config,SecurityConfig,0,99,0,0,0,17,0,3,0,3
api-gateway,com.quickbite.gateway.config,CorsHeaderSanitizingFilter,2,100,5,11,1,25,5,12,0,9
api-gateway,com.quickbite.gateway.config,AdminGatewayRoutesConfig,3,0,0,0,1,0,1,0,1,0
api-gateway,com.quickbite.gateway.security,JwtAuthenticationFilter,2,258,12,26,1,47,12,11,0,4
api-gateway,com.quickbite.gateway.security,JwtService,0,57,0,0,0,17,0,7,0,7
api-gateway,com.quickbite.gateway.exception,GatewayErrorHandler,0,86,0,2,0,20,0,3,0,2
